"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/10/2021","76,526.8","76,526.8","76,691.6","76,197.3","1.27M","-0.11%"
"30/09/2021","76,609.2","77,021.1","77,350.6","76,609.2","1.20M","-0.21%"
"29/09/2021","76,773.9","76,609.2","76,938.7","76,032.6","1.41M","0.21%"
"28/09/2021","76,609.2","75,538.3","76,609.2","75,373.6","1.67M","0.98%"
"27/09/2021","75,867.8","76,526.8","77,021.1","75,867.8","1.86M","-0.65%"
"24/09/2021","76,362.1","76,773.9","76,773.9","76,362.1","1.74M","-0.43%"
"23/09/2021","76,691.6","76,773.9","77,268.2","76,609.2","1.67M","-0.11%"
"22/09/2021","76,773.9","76,773.9","76,938.7","76,362.1","2.43M","-0.32%"
"21/09/2021","77,021.1","76,938.7","77,432.9","76,197.3","3.24M","-0.95%"
"20/09/2021","77,762.4","79,080.4","79,245.2","77,515.3","3.03M","-1.36%"
"17/09/2021","78,833.3","78,668.6","79,904.2","78,586.2","3.99M","1.06%"
"16/09/2021","78,009.6","77,762.4","78,256.7","77,597.7","2.31M","0.64%"
"15/09/2021","77,515.3","77,268.2","77,762.4","76,856.3","2.03M","0.32%"
"14/09/2021","77,268.2","76,856.3","78,009.6","76,609.2","3.03M","0.86%"
"13/09/2021","76,609.2","77,103.4","77,432.9","76,526.8","1.92M","-0.53%"
"10/09/2021","77,021.1","76,938.7","77,762.4","76,938.7","1.73M","0.32%"
"09/09/2021","76,773.9","76,691.6","77,350.6","76,444.4","1.67M","0.11%"
"08/09/2021","76,691.6","77,021.1","77,597.7","76,444.4","1.74M","-0.43%"
"07/09/2021","77,021.1","78,503.8","78,503.8","77,021.1","2.75M","-1.48%"
"06/09/2021","78,174.3","76,114.9","78,174.3","76,032.6","3.75M","2.71%"
"01/09/2021","76,114.9","75,867.8","76,609.2","75,867.8","1.62M","0.00%"
"31/08/2021","76,114.9","76,032.6","76,773.9","75,785.4","2.34M","0.22%"
"30/08/2021","75,950.2","76,609.2","76,609.2","75,867.8","1.79M","0.22%"
"27/08/2021","75,785.4","74,961.7","75,785.4","74,632.2","2.28M","0.66%"
"26/08/2021","75,291.2","75,785.4","76,526.8","75,126.4","2.11M","-0.54%"
